Farm_Community,Operational_Area,District,Region,Total_Farmers_Enrolled,Farmers_0_0_AVC,Farmers_2_5_AVC,Farmers_5_0_AVC,Farmers_7_5_AVC,Farmers_10_0_AVC,Farmers_12_5_AVC,Farmers_15_0_AVC
14276,Lerdahl,Buffalo,Ashanti,294,21,36,36,4,39,15,18
93399,Florence,Bakersfield,Volta,62,16,16,43,13,19,33,16
93106,Carpenter,Santa Barbara,Western,141,39,43,25,9,5,19,23
94121,Stephen,San Francisco,Eastern,96,9,8,30,4,28,14,22
32204,Pierstorff,Jacksonville,Eastern,69,34,20,10,19,28,29,5
33028,Weeping Birch,Hollywood,Central,231,37,10,6,16,32,40,37
10090,Lerdahl,New York City,Central,182,16,39,2,37,28,13,4
14276,Lerdahl,Buffalo,Ashanti,294,21,36,36,4,39,15,18
93399,Florence,Bakersfield,Volta,62,16,16,43,13,19,33,16
93106,Carpenter,Santa Barbara,Western,141,39,43,25,9,5,19,23
94121,Stephen,San Francisco,Eastern,96,9,8,30,4,28,14,22
32204,Pierstorff,Jacksonville,Eastern,69,34,20,10,19,28,29,5
33028,Weeping Birch,Hollywood,Central,231,37,10,6,16,32,40,37
10090,Lerdahl,New York City,Central,182,16,39,2,37,28,13,4
